nombre,dni,email,telefono_movil,telefono_fijo,direccion,ciudad,codigo_postal,provincia
Evelia Pepita Soria Rius,17392699F,eveliapepitasoriarius6514424@gmail.com,+34874424914,944197410,Cuesta Cristina Amor 9 Piso 5 ,Llanes,33593,Asturias
Mayte Perelló Tomas,52971382J,mayteperellótomas6694836@yahoo.com,+34917892820,922318860,Alameda de Jose Carlos Bou 478,Burguillos,41200,Sevilla
Judith Ropero,83224865D,judithropero8376199@yahoo.com,+34875371057,975818060,Plaza Gustavo Mariño 710 Apt. 83 ,Almenar de Soria,42131,Soria
Marcelino Villalba Pinto,54832639H,marcelinovillalbapinto1975250@yahoo.com,+34974053172,972329397,Calle de Ciro Morán 5 Apt. 01 ,Oia,36779,Pontevedra
Abigaíl Nélida Peñas Huertas,11375790J,abigaílnélidapeñashuertas7653591@gmail.com,+34974123228,941445705,Ronda de Leonor Checa 88,Burguillos del Cerro,06370,Badajoz
Flavio Molina Llopis,97836075D,flaviomolinallopis708846@yahoo.com,+34716633299,975289297,Ronda Plácido Llano 21,Armiñón,01211,Araba/Álava
Fabio Bautista Machado,48894516N,fabiobautistamachado5592044@yahoo.com,+34988742347,943219209,Camino Marcial Saavedra 85 Piso 3 ,Fuente Encalada,49618,Zamora
Rafael Campos Solana,69117657N,rafaelcampossolana8098522@hotmail.com,+34841095286,923789600,Urbanización Abel Jáuregui 682,Almoster,43393,Tarragona
Haroldo Serna,05979833V,haroldoserna6298626@yahoo.com,+34971530640,980362910,Rambla Zaira Cózar 59,Casas de Lázaro,02329,Albacete
Geraldo Rojas Rubio,89058594H,geraldorojasrubio4875675@yahoo.com,+34949881899,948594815,Calle Eutropio Galiano 608 Apt. 88 ,Meneses de Campos,34305,Palencia
Héctor Pera,82537437M,héctorpera3812083@gmail.com,+34981775280,981994532,Avenida de Celso Benitez 48,San Millán/Donemiliaga,01208,Araba/Álava
Lilia Ródenas,22260526E,liliaródenas622398@yahoo.com,+34942833954,945757498,Rambla de Nereida Cerdán 99,Vilobí d'Onyar,17184,Girona
Sancho Sevilla Tapia,98587986G,sanchosevillatapia9434684@gmail.com,+34978754462,975285364,Plaza de Perlita Cobo 188,Fuente Palmera,14115,Córdoba
Luciana Espejo-Redondo,56226439H,lucianaespejo-redondo8788154@hotmail.com,+34842719356,986411354,Ronda de Artemio Tamayo 44 Piso 8 ,Valmojado,45940,Toledo
Yolanda Arenas-Torrent,64317038E,yolandaarenas-torrent1595378@hotmail.com,+34980035302,975201273,Via Lola Leal 41 Apt. 16 ,Villanueva de Argecilla,19246,Guadalajara
Coral Arana Tejedor,26399005L,coralaranatejedor9182362@hotmail.com,+34849747496,900797465,Paseo Teresita Calvo 595 Apt. 72 ,Tomiño,36740,Pontevedra
