matricula,numero_bastidor,anno,marca,modelo,categoria,dni_usuario
9046-LPY,RHBA0A0J8167JB08W,2022,Nissan,Leaf,cupé,95868797J
OR-3092-LL,6LKXCDZV62JBJBBJC,1990,Mazda,Mazda6,furgoneta,01240490P
CS-6337-XC,2571YVAY4H1GT8XFT,1992,Nissan,Juke,sedán,42736491F
6766-HYS,EMVVK0PC643090F6Y,2011,Seat,Leon,berlina,11943713C
9584-HRZ,890PPT3495X2FJLXS,2012,Fiat,500,deportivo,23481598R
1229-LZN,LJEAK6227A3VYX19C,2022,Toyota,RAV4,furgoneta,62149777M
1643-JDR,895VND0G3PD6Y1Z5L,2015,Nissan,Leaf,urbanos,92109413W
CU-7407-PY,5FENHK6H6KS7LTHD4,1993,Renault,Clio,todoterreno,72774629F
TE-8218-VV,HS75N3T120L8YABKT,1991,Peugeot,3008,SUV,08597225D
8315-KWG,GK8DJ6CTX0VUCAUFD,2019,Honda,Jazz,cupé,51580802J
1198-HSJ,ZA89U5MZ3P2AATBLZ,2011,Honda,CR-V,berlina,70332170X
9326-KFC,7MBJ4AK07L09FS1E7,2019,Honda,CR-V,cupé,43927743C
3652-HFS,PVBKCJXZ353ATYDZ6,2011,Renault,Megane,deportivo,45993858E
3508-FCS,M34VX17J746KJ5ZR5,2008,Hyundai,Elantra,SUV,40992937Z
9842-FCK,LME0MEAB96W9K8MDP,2007,Ford,Mustang,deportivo,44896044K
7481-CYW,1CH7240N5U77UCPPW,2003,Audi,A4,urbanos,30433061J
1048-CFL,WCZTBP4Y4M4HKU4LU,2004,Hyundai,Santa Fe,furgoneta,34461254D
1648-CJF,5R30C4B5132YRXJE1,2003,Mazda,CX-5,monovolumen,47460755W
7692-CHZ,KS8YT3US7B4GRYMU2,2004,Hyundai,Santa Fe,sedán,87492649M
O-2190-YM,RWUFJP441MS2346YK,1997,Toyota,Camry,furgoneta,41776045H
NA-9411-VD,AUDN3KZ61FYNXTRVE,1997,Fiat,Tipo,furgoneta,15191690Y
8721-CTM,0GF1DM48XYVVL2847,2004,BMW,Z4,descapotable,90940056B
2324-DWP,PAHZDTMY74ZGJ9F7A,2005,Seat,Ibiza,sedán,58522182Q
7419-FZF,5LB3VP3AXSCEL6AJU,2007,Hyundai,Elantra,deportivo,64435970K
6298-CHK,N2U6VSY36FG1Y7WD4,2004,Honda,Accord,monovolumen,03461495H
1530-JZJ,52089XLD6E1EFP9HD,2017,Ford,Mustang,monovolumen,36035712W
LE-5318-FB,AVV4MAG21RG85ED8R,1996,Mercedes-Benz,GLC,monovolumen,29228790E
SA-2219-PK,86SJ8J0G4EUEGM38C,1995,Audi,Q5,sedán,01307145D
6337-HSV,VUBXLKML72H5926SV,2013,Audi,A4,monovolumen,48360467T
8590-BRY,YAR4LBAFXNS8UN2XD,2000,Honda,Accord,furgoneta,93681654D
L-6426-TK,L7Y7C88N6YBHJ8P8F,1994,Renault,Kadjar,sedán,97849129E
5903-BBZ,SK8ZR7311T270VPVU,2002,Audi,Q7,todoterreno,73386478X
4338-GXD,7LYCS97E1GSCFVYEH,2010,Ford,Focus,descapotable,96483869L
2087-HZC,DEN04RMX515VUNH8Y,2014,Toyota,RAV4,descapotable,01743718L
2130-JZR,9L1BWJWM73GXEGNUU,2015,Renault,Scenic,deportivo,84476592F
P-2255-VJ,KJ3VFPSS2FYMCJ7R3,1999,Audi,A3,berlina,15773651K
7177-JHK,7L7JYCRB5TB56LGC5,2017,BMW,Z4,deportivo,18613295Q
T-8700-XF,KTGEUJTU6WELM2JYF,1993,Nissan,Micra,todoterreno,15807771D
